"CHECKOUT";"Checkout"
"COPYRIGHT";"Copyright"
"LOGOUT";"Logout"
"MY_ACCOUNT";"My Account"
"MY_CART";"My Cart"
"SEARCH";"Search"
"SHOP_BY_CATEGORY";"Shop by Category"
